"Var1","Var2","Freq"
"","Electrical","SBrkr:1334  "
"","Electrical","NA's :   1  "
"","Electrical",NA
"","KitchenQual","Ex:100  "
"","KitchenQual","Fa: 39  "
"","KitchenQual","Gd:586  "
"","KitchenQual","TA:735  "
"","KitchenQual",NA
"","KitchenQual",NA
"","KitchenQual",NA
"","Functional","Maj1:  14  "
"","Functional","Maj2:   5  "
"","Functional","Min1:  31  "
"","Functional","Min2:  34  "
"","Functional","Mod :  15  "
"","Functional","Sev :   1  "
"","Functional","Typ :1360  "
"","FireplaceQu","Ex  : 24  "
"","FireplaceQu","Fa  : 33  "
"","FireplaceQu","Gd  :380  "
"","FireplaceQu","Po  : 20  "
"","FireplaceQu","TA  :313  "
"","FireplaceQu","NA's:690  "
"","FireplaceQu",NA
"","  GarageType","2Types :  6  "
"","  GarageType","Attchd :870  "
"","  GarageType","Basment: 19  "
"","  GarageType","BuiltIn: 88  "
"","  GarageType","CarPort:  9  "
"","  GarageType","Detchd :387  "
"","  GarageType","NA's   : 81  "
"","GarageFinish","Fin :352  "
"","GarageFinish","RFn :422  "
"","GarageFinish","Unf :605  "
"","GarageFinish","NA's: 81  "
"","GarageFinish",NA
"","GarageFinish",NA
"","GarageFinish",NA
"","GarageQual","Ex  :   3  "
"","GarageQual","Fa  :  48  "
"","GarageQual","Gd  :  14  "
"","GarageQual","Po  :   3  "
"","GarageQual","TA  :1311  "
"","GarageQual","NA's:  81  "
"","GarageQual",NA
"","GarageCond","Ex  :   2  "
"","GarageCond","Fa  :  35  "
"","GarageCond","Gd  :   9  "
"","GarageCond","Po  :   7  "
"","GarageCond","TA  :1326  "
"","GarageCond","NA's:  81  "
"","GarageCond",NA
"","PavedDrive","N:  90  "
"","PavedDrive","P:  30  "
"","PavedDrive","Y:1340  "
"","PavedDrive",NA
"","PavedDrive",NA
"","PavedDrive",NA
"","PavedDrive",NA
""," PoolQC","Ex  :   2  "
""," PoolQC","Fa  :   2  "
""," PoolQC","Gd  :   3  "
""," PoolQC","NA's:1453  "
""," PoolQC",NA
""," PoolQC",NA
""," PoolQC",NA
"","  Fence","GdPrv:  59  "
"","  Fence","GdWo :  54  "
"","  Fence","MnPrv: 157  "
"","  Fence","MnWw :  11  "
"","  Fence","NA's :1179  "
"","  Fence",NA
"","  Fence",NA
"","MiscFeature","Gar2:   2  "
"","MiscFeature","Othr:   2  "
"","MiscFeature","Shed:  49  "
"","MiscFeature","TenC:   1  "
"","MiscFeature","NA's:1406  "
"","MiscFeature",NA
"","MiscFeature",NA
"","   SaleType","WD     :1267  "
"","   SaleType","New    : 122  "
"","   SaleType","COD    :  43  "
"","   SaleType","ConLD  :   9  "
"","   SaleType","ConLI  :   5  "
"","   SaleType","ConLw  :   5  "
"","   SaleType","(Other):   9  "
"","SaleCondition","Abnorml: 101  "
"","SaleCondition","AdjLand:   4  "
"","SaleCondition","Alloca :  12  "
"","SaleCondition","Family :  20  "
"","SaleCondition","Normal :1198  "
"","SaleCondition","Partial: 125  "
"","SaleCondition",NA
