"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","Fence","MiscVal","YrSold","SaleType","SaleCondition","SalePrice","PoolQC_f","MiscFeature_f","Condition2_f","YearRemodeDecile","MoSoldQtr","AgeofHouse","Time_Since_Remodel","num_ext_materials","num_basmt_materials","perc_2nd_1st_floor","perc_1st_tot_floor","perc_unf_bsmt","num_excellents","perc_openArea","predicted_price"
23,"20","RL",75,9742,"Missing","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam",8,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1777,"GasA","Ex","Y","SBrkr",1795,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,534,"TA","TA","Y",171,159,0,0,0,"No Fence",0,2008,"WD","Normal",230000,0,"0",1,"4","Q3",6,6,1,0,0,1,1,0.111111111111111,0.815746253336071,227934.684482257
25,"20","RL",69,8246,"Missing","IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam",5,8,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ",1060,"GasA","Ex","Y","SBrkr",1060,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd","Unf",1,270,"TA","TA","Y",406,90,0,0,0,"MnPrv",0,2010,"WD","Normal",154000,0,"0",1,"4","Q2",42,9,1,2,0,1,0.192452830188679,0.111111111111111,0.871452825612418,152395.904249615
26,"20","RL",110,14230,"Missing","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1566,"GasA","Ex","Y","SBrkr",1600,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,890,"TA","TA","Y",0,56,0,0,0,"No Fence",0,2009,"WD","Normal",256300,0,"0",1,"4","Q3",2,2,1,0,0,1,1,0.111111111111111,0.88756148981026,252201.306851165
27,"20","RL",60,7200,"Missing","Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam",5,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",900,"GasA","TA","Y","SBrkr",900,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"No Fireplace","Detchd","Unf",2,576,"TA","TA","Y",222,32,0,0,0,"No Fence",0,2010,"WD","Normal",134800,0,"0",1,"4","Q2",59,10,1,2,0,1,0.2,0,0.875,131247.948778541
28,"20","RL",98,11478,"Missing","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",1704,"GasA","Ex","Y","SBrkr",1704,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,772,"TA","TA","Y",0,50,0,0,0,"No Fence",0,2010,"WD","Normal",306000,0,"0",1,"4","Q2",3,2,1,2,0,1,0.285211267605634,0.222222222222222,0.85154208050183,295130.157258259
29,"20","RL",47,16321,"Missing","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",1484,"GasA","TA","Y","SBrkr",1600,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd","RFn",1,319,"TA","TA","Y",288,258,0,0,0,"No Fence",0,2006,"WD","Normal",207500,0,"0",1,"4","Q4",49,9,1,2,0,1,0.139487870619946,0,0.901966791250536,195055.712202049
31,"70","C (all)",50,8500,"Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","1Fam",4,4,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",649,"GasA","TA","N","SBrkr",649,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"No Fireplace","Detchd","Unf",1,250,"TA","Fa","N",0,54,172,0,0,"MnPrv",0,2008,"WD","Normal",40000,0,"0",1,"1","Q3",88,58,1,0,1.02927580893683,0.492786636294609,1,0,0.923647058823529,74467.1767173059
32,"20","RL",69,8544,"Missing","IR1","Lvl","CulDSac","Gtl","Sawyer","Norm","1Fam",5,6,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",1228,"GasA","Gd","Y","SBrkr",1228,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"No Fireplace","Attchd","Unf",1,271,"TA","TA","Y",0,65,0,0,0,"MnPrv",0,2008,"WD","Normal",149350,0,"0",1,"4","Q2",42,2,1,0,0,1,1,0,0.8562734082397,140756.861304491
33,"20","RL",85,11049,"Missing","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1234,"GasA","Ex","Y","SBrkr",1234,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"No Fireplace","Attchd","RFn",2,484,"TA","TA","Y",0,30,0,0,0,"No Fence",0,2008,"WD","Normal",179900,0,"0",1,"4","Q1",1,1,1,0,0,1,1,0.222222222222222,0.888315684677346,202194.814595469
34,"20","RL",70,10552,"Missing","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,5,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf",1398,"GasA","Gd","Y","SBrkr",1700,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,447,"TA","TA","Y",0,38,0,0,0,"No Fence",0,2010,"WD","Normal",165500,0,"0",1,"2","Q2",51,51,1,2,0,1,0.271816881258941,0,0.838893100833965,173054.149651817
35,"120","RL",60,7313,"Missing","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE",9,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",1561,"GasA","Ex","Y","SBrkr",1561,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd","Fin",2,556,"TA","TA","Y",203,47,0,0,0,"No Fence",0,2007,"WD","Normal",277500,0,"0",1,"4","Q3",2,2,1,2,0,1,0.261370916079436,0.444444444444444,0.786544509777109,303720.829548131
37,"20","RL",112,10859,"Missing","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",1097,"GasA","Ex","Y","SBrkr",1097,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"No Fireplace","Attchd","Unf",2,672,"TA","TA","Y",392,64,0,0,0,"No Fence",0,2009,"WD","Normal",145000,0,"0",1,"4","Q2",15,14,1,0,0,1,1,0.111111111111111,0.898977806427848,151899.016630955
38,"20","RL",74,8532,"Missing","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,6,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec",1213,"Unf",1297,"GasA","Gd","Y","SBrkr",1297,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd","Fin",2,498,"TA","TA","Y",0,0,0,0,0,"No Fence",0,2009,"WD","Normal",153000,0,"0",1,"3","Q4",55,19,1,2,0,1,0.0647648419429453,0,0.847984060009376,152754.241537056
41,"20","RL",84,8658,"Missing","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",6,5,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",643,"Unf",1088,"GasA","Ex","Y","SBrkr",1324,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd","RFn",2,440,"TA","TA","Y",0,138,0,0,0,"GdWo",0,2006,"WD","Abnorml",160000,0,"0",1,"2","Q4",41,41,1,2,0,1,0.409007352941176,0.111111111111111,0.847077847077847,149454.250507406
42,"20","RL",115,16905,"Missing","Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam",5,6,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",967,"Unf",1350,"GasA","Gd","Y","SBrkr",1328,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd","RFn",1,308,"TA","TA","P",0,104,0,0,0,"No Fence",0,2007,"WD","Normal",170000,0,"0",1,"2","Q3",48,48,1,2,0,1,0.283703703703704,0,0.921443359952677,167055.007421438
43,"85","RL",69,9180,"Missing","IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","1Fam",5,7,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",747,"LwQ",840,"GasA","Gd","Y","SBrkr",884,0,884,1,0,1,0,2,1,"Gd",5,"Typ",0,"No Fireplace","Attchd","RFn",2,504,"TA","Gd","Y",240,0,0,0,0,"MnPrv",0,2007,"WD","Normal",144000,0,"0",1,"3","Q4",24,24,1,2,0,1,0,0,0.903703703703704,145502.810813611
44,"20","RL",69,9200,"Missing","IR1","Lvl","CulDSac","Gtl","CollgCr","Norm","1Fam",5,6,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ",938,"GasA","TA","Y","SBrkr",938,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,"No Fireplace","Detchd","Unf",1,308,"TA","TA","Y",145,0,0,0,0,"MnPrv",0,2008,"WD","Normal",130250,0,"0",1,"3","Q3",33,28,1,2,0,1,0.178038379530917,0,0.89804347826087,132781.345783744
45,"20","RL",70,7945,"Missing","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,6,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",179,"BLQ",1150,"GasA","Ex","Y","FuseA",1150,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,"No Fireplace","Attchd","RFn",1,300,"TA","TA","Y",0,0,0,0,0,"No Fence",0,2006,"WD","Normal",141000,0,"0",1,"2","Q2",47,47,2,2,0,1,0.404347826086957,0.111111111111111,0.855254877281309,136773.629315275
46,"120","RL",61,7658,"Missing","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE",9,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ",456,"Unf",1752,"GasA","Ex","Y","SBrkr",1752,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd","RFn",2,576,"TA","TA","Y",196,82,0,0,0,"No Fence",0,2010,"WD","Normal",319900,0,"0",1,"4","Q1",5,5,1,2,0,1,0.73972602739726,0.444444444444444,0.771219639592583,304750.807473671
47,"50","RL",48,12822,"Missing","IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",1351,"Unf",1434,"GasA","Ex","Y","SBrkr",1518,0,2149,1,0,1,1,1,1,"Gd",6,"Typ",1,"Ex","Attchd","RFn",2,670,"TA","TA","Y",168,43,0,0,198,"No Fence",0,2009,"WD","Abnorml",239686,0,"0",1,"4","Q3",6,6,1,2,0.415678524374177,0.706375058166589,0.0578800557880056,0.333333333333333,0.881609733270941,270551.661021026
48,"20","FV",84,11096,"Missing","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",1656,"GasA","Ex","Y","SBrkr",1656,0,1656,0,0,2,0,3,1,"Gd",7,"Typ",0,"No Fireplace","Attchd","RFn",3,826,"TA","TA","Y",0,146,0,0,0,"No Fence",0,2007,"WD","Normal",249700,0,"0",1,"4","Q3",1,1,1,2,0,1,0.985507246376812,0.111111111111111,0.850757029560202,244484.343015511
49,"190","RM",33,4456,"Missing","Reg","Lvl","Inside","Gtl","OldTown","Norm","2fmCon",4,5,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",736,"GasA","Gd","Y","SBrkr",736,0,1452,0,0,2,0,2,3,"TA",8,"Typ",0,"No Fireplace","No Garage","No Garage",0,0,"No Garage","No Garage","N",0,0,102,0,0,"No Fence",0,2009,"New","Partial",113000,0,"0",1,"4","Q2",89,1,1,0,0.972826086956522,0.506887052341598,1,0,0.834829443447038,88240.4035091127
50,"20","RL",66,7742,"Missing","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam",5,7,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",763,"Unf",955,"GasA","Ex","Y","SBrkr",955,0,955,1,0,1,0,3,1,"TA",6,"Typ",0,"No Fireplace","Attchd","Unf",1,386,"TA","TA","Y",0,0,0,0,0,"MnPrv",0,2007,"WD","Normal",127000,0,"0",1,"2","Q1",41,41,1,2,0,1,0.201047120418848,0.111111111111111,0.876646861276156,131257.102555727
51,"60","RL",69,13869,"Missing","IR2","Lvl","Corner","Gtl","Gilbert","Norm","1Fam",6,6,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",182,"Unf",794,"GasA","Gd","Y","SBrkr",794,0,1470,0,1,2,0,3,1,"TA",6,"Typ",0,"No Fireplace","Attchd","Fin",2,388,"TA","TA","Y",0,75,0,0,0,"No Fence",0,2007,"WD","Normal",177000,0,"0",1,"4","Q3",10,10,1,2,0.851385390428212,0.540136054421769,0.770780856423174,0,0.942750018025813,173806.229067614
52,"50","RM",52,6240,"Missing","Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam",6,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",816,"GasA","TA","Y","SBrkr",816,360,1176,0,0,1,0,3,1,"TA",6,"Typ",1,"Gd","Detchd","Unf",2,528,"TA","TA","Y",112,0,0,0,0,"MnPrv",400,2006,"WD","Normal",114500,0,"1",1,"1","Q3",72,56,1,0,0,0.693877551020408,1,0,0.869230769230769,134201.837559286
53,"90","RM",110,8472,"Missing","IR2","Bnk","Corner","Mod","IDOTRR","RRNn","Duplex",5,5,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","TA","Gd","LwQ",104,"GLQ",816,"GasA","TA","N","SBrkr",816,0,816,1,0,1,0,2,1,"TA",5,"Typ",0,"No Fireplace","CarPort","Unf",2,516,"TA","TA","Y",106,0,0,0,0,"No Fence",0,2010,"WD","Normal",110000,0,"0",1,"2","Q2",47,47,1,2,0,1,0,0,0.903682719546742,116962.918740153
54,"20","RL",68,50271,"Missing","IR1","Low","Inside","Gtl","Veenker","Norm","1Fam",9,5,"Gable","WdShngl","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Ex","TA","Gd","GLQ",1810,"Unf",1842,"GasA","Gd","Y","SBrkr",1842,0,1842,2,0,0,1,0,1,"Gd",5,"Typ",1,"Gd","Attchd","Fin",3,894,"TA","TA","Y",857,72,0,0,0,"No Fence",0,2006,"WD","Normal",385000,0,"0",1,"3","Q4",25,19,2,2,0,1,0.0173724212812161,0.111111111111111,0.963358596407471,338505.984756351
55,"80","RL",60,7134,"Missing","Reg","Bnk","Inside","Mod","NAmes","Norm","1Fam",5,5,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",384,"Unf",384,"GasA","TA","Y","SBrkr",1360,0,1360,0,0,1,0,3,1,"TA",6,"Min1",1,"TA","Detchd","Unf",2,572,"TA","TA","Y",0,50,0,0,0,"MnPrv",0,2007,"WD","Normal",130000,0,"0",1,"2","Q1",52,52,1,2,0,1,0,0,0.809363610877488,129582.773241477
