"Var1","Var2","Freq"
"","  HouseStyle","2Story :445  "
"","  HouseStyle","1.5Fin :154  "
"","  HouseStyle","SLvl   : 65  "
"","  HouseStyle","SFoyer : 37  "
"","  HouseStyle","1.5Unf : 14  "
"","  HouseStyle","(Other): 19  "
""," OverallQual","Min.   : 1.000  "
""," OverallQual","1st Qu.: 5.000  "
""," OverallQual","Median : 6.000  "
""," OverallQual","Mean   : 6.099  "
""," OverallQual","3rd Qu.: 7.000  "
""," OverallQual","Max.   :10.000  "
""," OverallQual",NA
""," OverallCond","Min.   :1.000  "
""," OverallCond","1st Qu.:5.000  "
""," OverallCond","Median :5.000  "
""," OverallCond","Mean   :5.575  "
""," OverallCond","3rd Qu.:6.000  "
""," OverallCond","Max.   :9.000  "
""," OverallCond",NA
"","  YearBuilt","Min.   :1872  "
"","  YearBuilt","1st Qu.:1954  "
"","  YearBuilt","Median :1973  "
"","  YearBuilt","Mean   :1971  "
"","  YearBuilt","3rd Qu.:2000  "
"","  YearBuilt","Max.   :2010  "
"","  YearBuilt",NA
""," YearRemodAdd","Min.   :1950  "
""," YearRemodAdd","1st Qu.:1967  "
""," YearRemodAdd","Median :1994  "
""," YearRemodAdd","Mean   :1985  "
""," YearRemodAdd","3rd Qu.:2004  "
""," YearRemodAdd","Max.   :2010  "
""," YearRemodAdd",NA
"","  RoofStyle","Flat   :  13  "
"","  RoofStyle","Gable  :1141  "
"","  RoofStyle","Gambrel:  11  "
"","  RoofStyle","Hip    : 286  "
"","  RoofStyle","Mansard:   7  "
"","  RoofStyle","Shed   :   2  "
"","  RoofStyle",NA
"","   RoofMatl","CompShg:1434  "
"","   RoofMatl","Tar&Grv:  11  "
"","   RoofMatl","WdShngl:   6  "
"","   RoofMatl","WdShake:   5  "
"","   RoofMatl","ClyTile:   1  "
"","   RoofMatl","Membran:   1  "
"","   RoofMatl","(Other):   2  "
""," Exterior1st","VinylSd:515  "
""," Exterior1st","HdBoard:222  "
""," Exterior1st","MetalSd:220  "
""," Exterior1st","Wd Sdng:206  "
""," Exterior1st","Plywood:108  "
""," Exterior1st","CemntBd: 61  "
""," Exterior1st","(Other):128  "
""," Exterior2nd","VinylSd:504  "
""," Exterior2nd","MetalSd:214  "
""," Exterior2nd","HdBoard:207  "
""," Exterior2nd","Wd Sdng:197  "
""," Exterior2nd","Plywood:142  "
""," Exterior2nd","CmentBd: 60  "
""," Exterior2nd","(Other):136  "
"","  MasVnrType","BrkCmn : 15  "
"","  MasVnrType","BrkFace:445  "
"","  MasVnrType","None   :864  "
"","  MasVnrType","Stone  :128  "
"","  MasVnrType","NA's   :  8  "
"","  MasVnrType",NA
"","  MasVnrType",NA
"","  MasVnrArea","Min.   :   0.0  "
"","  MasVnrArea","1st Qu.:   0.0  "
"","  MasVnrArea","Median :   0.0  "
"","  MasVnrArea","Mean   : 103.7  "
"","  MasVnrArea","3rd Qu.: 166.0  "
"","  MasVnrArea","Max.   :1600.0  "
"","  MasVnrArea","NA's   :8  "
"","ExterQual","Ex: 52  "
"","ExterQual","Fa: 14  "
"","ExterQual","Gd:488  "
"","ExterQual","TA:906  "
"","ExterQual",NA
"","ExterQual",NA
"","ExterQual",NA
"","ExterCond","Ex:   3  "
"","ExterCond","Fa:  28  "
"","ExterCond","Gd: 146  "
"","ExterCond","Po:   1  "
"","ExterCond","TA:1282  "
"","ExterCond",NA
"","ExterCond",NA
""," Foundation","BrkTil:146  "
""," Foundation","CBlock:634  "
""," Foundation","PConc :647  "
""," Foundation","Slab  : 24  "
""," Foundation","Stone :  6  "
""," Foundation","Wood  :  3  "
""," Foundation",NA
"","BsmtQual","Ex  :121  "
"","BsmtQual","Fa  : 35  "
"","BsmtQual","Gd  :618  "
"","BsmtQual","TA  :649  "
"","BsmtQual","NA's: 37  "
"","BsmtQual",NA
"","BsmtQual",NA
"","BsmtCond","Fa  :  45  "
"","BsmtCond","Gd  :  65  "
"","BsmtCond","Po  :   2  "
"","BsmtCond","TA  :1311  "
"","BsmtCond","NA's:  37  "
"","BsmtCond",NA
"","BsmtCond",NA
"","BsmtExposure","Av  :221  "
"","BsmtExposure","Gd  :134  "
"","BsmtExposure","Mn  :114  "
"","BsmtExposure","No  :953  "
"","BsmtExposure","NA's: 38  "
"","BsmtExposure",NA
"","BsmtExposure",NA
"","BsmtFinType1","ALQ :220  "
"","BsmtFinType1","BLQ :148  "
"","BsmtFinType1","GLQ :418  "
"","BsmtFinType1","LwQ : 74  "
"","BsmtFinType1","Rec :133  "
"","BsmtFinType1","Unf :430  "
"","BsmtFinType1","NA's: 37  "
"","  BsmtFinSF1","Min.   :   0.0  "
"","  BsmtFinSF1","1st Qu.:   0.0  "
"","  BsmtFinSF1","Median : 383.5  "
"","  BsmtFinSF1","Mean   : 443.6  "
"","  BsmtFinSF1","3rd Qu.: 712.2  "
"","  BsmtFinSF1","Max.   :5644.0  "
"","  BsmtFinSF1",NA
"","BsmtFinType2","ALQ :  19  "
"","BsmtFinType2","BLQ :  33  "
"","BsmtFinType2","GLQ :  14  "
"","BsmtFinType2","LwQ :  46  "
"","BsmtFinType2","Rec :  54  "
"","BsmtFinType2","Unf :1256  "
"","BsmtFinType2","NA's:  38  "
"","  BsmtFinSF2","Min.   :   0.00  "
"","  BsmtFinSF2","1st Qu.:   0.00  "
"","  BsmtFinSF2","Median :   0.00  "
"","  BsmtFinSF2","Mean   :  46.55  "
"","  BsmtFinSF2","3rd Qu.:   0.00  "
"","  BsmtFinSF2","Max.   :1474.00  "
"","  BsmtFinSF2",NA
"","  BsmtUnfSF","Min.   :   0.0  "
"","  BsmtUnfSF","1st Qu.: 223.0  "
"","  BsmtUnfSF","Median : 477.5  "
"","  BsmtUnfSF","Mean   : 567.2  "
"","  BsmtUnfSF","3rd Qu.: 808.0  "
"","  BsmtUnfSF","Max.   :2336.0  "
"","  BsmtUnfSF",NA
""," TotalBsmtSF","Min.   :   0.0  "
""," TotalBsmtSF","1st Qu.: 795.8  "
""," TotalBsmtSF","Median : 991.5  "
""," TotalBsmtSF","Mean   :1057.4  "
""," TotalBsmtSF","3rd Qu.:1298.2  "
""," TotalBsmtSF","Max.   :6110.0  "
""," TotalBsmtSF",NA
""," Heating","Floor:   1  "
""," Heating","GasA :1428  "
""," Heating","GasW :  18  "
""," Heating","Grav :   7  "
""," Heating","OthW :   2  "
""," Heating","Wall :   4  "
""," Heating",NA
"","HeatingQC","Ex:741  "
"","HeatingQC","Fa: 49  "
"","HeatingQC","Gd:241  "
"","HeatingQC","Po:  1  "
"","HeatingQC","TA:428  "
"","HeatingQC",NA
"","HeatingQC",NA
"","CentralAir","N:  95  "
"","CentralAir","Y:1365  "
"","CentralAir",NA
"","CentralAir",NA
"","CentralAir",NA
"","CentralAir",NA
"","CentralAir",NA
"","Electrical","FuseA:  94  "
"","Electrical","FuseF:  27  "
"","Electrical","FuseP:   3  "
"","Electrical","Mix  :   1  "
"","Electrical","SBrkr:1334  "
"","Electrical","NA's :   1  "
"","Electrical",NA
"","  X1stFlrSF","Min.   : 334  "
"","  X1stFlrSF","1st Qu.: 882  "
"","  X1stFlrSF","Median :1087  "
"","  X1stFlrSF","Mean   :1163  "
"","  X1stFlrSF","3rd Qu.:1391  "
"","  X1stFlrSF","Max.   :4692  "
"","  X1stFlrSF",NA
"","  X2ndFlrSF","Min.   :   0  "
"","  X2ndFlrSF","1st Qu.:   0  "
"","  X2ndFlrSF","Median :   0  "
"","  X2ndFlrSF","Mean   : 347  "
"","  X2ndFlrSF","3rd Qu.: 728  "
"","  X2ndFlrSF","Max.   :2065  "
"","  X2ndFlrSF",NA
""," LowQualFinSF","Min.   :  0.000  "
""," LowQualFinSF","1st Qu.:  0.000  "
""," LowQualFinSF","Median :  0.000  "
""," LowQualFinSF","Mean   :  5.845  "
""," LowQualFinSF","3rd Qu.:  0.000  "
""," LowQualFinSF","Max.   :572.000  "
""," LowQualFinSF",NA
"","  GrLivArea","Min.   : 334  "
"","  GrLivArea","1st Qu.:1130  "
"","  GrLivArea","Median :1464  "
"","  GrLivArea","Mean   :1515  "
"","  GrLivArea","3rd Qu.:1777  "
"","  GrLivArea","Max.   :5642  "
"","  GrLivArea",NA
""," BsmtFullBath","Min.   :0.0000  "
""," BsmtFullBath","1st Qu.:0.0000  "
""," BsmtFullBath","Median :0.0000  "
""," BsmtFullBath","Mean   :0.4253  "
""," BsmtFullBath","3rd Qu.:1.0000  "
""," BsmtFullBath","Max.   :3.0000  "
""," BsmtFullBath",NA
""," BsmtHalfBath","Min.   :0.00000  "
""," BsmtHalfBath","1st Qu.:0.00000  "
""," BsmtHalfBath","Median :0.00000  "
""," BsmtHalfBath","Mean   :0.05753  "
""," BsmtHalfBath","3rd Qu.:0.00000  "
""," BsmtHalfBath","Max.   :2.00000  "
""," BsmtHalfBath",NA
"","   FullBath","Min.   :0.000  "
"","   FullBath","1st Qu.:1.000  "
"","   FullBath","Median :2.000  "
"","   FullBath","Mean   :1.565  "
"","   FullBath","3rd Qu.:2.000  "
"","   FullBath","Max.   :3.000  "
"","   FullBath",NA
"","   HalfBath","Min.   :0.0000  "
"","   HalfBath","1st Qu.:0.0000  "
"","   HalfBath","Median :0.0000  "
"","   HalfBath","Mean   :0.3829  "
"","   HalfBath","3rd Qu.:1.0000  "
"","   HalfBath","Max.   :2.0000  "
"","   HalfBath",NA
""," BedroomAbvGr","Min.   :0.000  "
""," BedroomAbvGr","1st Qu.:2.000  "
""," BedroomAbvGr","Median :3.000  "
""," BedroomAbvGr","Mean   :2.866  "
""," BedroomAbvGr","3rd Qu.:3.000  "
""," BedroomAbvGr","Max.   :8.000  "
""," BedroomAbvGr",NA
""," KitchenAbvGr","Min.   :0.000  "
""," KitchenAbvGr","1st Qu.:1.000  "
""," KitchenAbvGr","Median :1.000  "
""," KitchenAbvGr","Mean   :1.047  "
""," KitchenAbvGr","3rd Qu.:1.000  "
""," KitchenAbvGr","Max.   :3.000  "
""," KitchenAbvGr",NA
"","KitchenQual","Ex:100  "
"","KitchenQual","Fa: 39  "
"","KitchenQual","Gd:586  "
"","KitchenQual","TA:735  "
"","KitchenQual",NA
"","KitchenQual",NA
"","KitchenQual",NA
""," TotRmsAbvGrd","Min.   : 2.000  "
""," TotRmsAbvGrd","1st Qu.: 5.000  "
""," TotRmsAbvGrd","Median : 6.000  "
""," TotRmsAbvGrd","Mean   : 6.518  "
""," TotRmsAbvGrd","3rd Qu.: 7.000  "
""," TotRmsAbvGrd","Max.   :14.000  "
""," TotRmsAbvGrd",NA
"","Functional","Maj1:  14  "
"","Functional","Maj2:   5  "
"","Functional","Min1:  31  "
"","Functional","Min2:  34  "
"","Functional","Mod :  15  "
"","Functional","Sev :   1  "
"","Functional","Typ :1360  "
"","  Fireplaces","Min.   :0.000  "
"","  Fireplaces","1st Qu.:0.000  "
"","  Fireplaces","Median :1.000  "
"","  Fireplaces","Mean   :0.613  "
"","  Fireplaces","3rd Qu.:1.000  "
"","  Fireplaces","Max.   :3.000  "
"","  Fireplaces",NA
"","FireplaceQu","Ex  : 24  "
"","FireplaceQu","Fa  : 33  "
"","FireplaceQu","Gd  :380  "
"","FireplaceQu","Po  : 20  "
"","FireplaceQu","TA  :313  "
"","FireplaceQu","NA's:690  "
"","FireplaceQu",NA
"","  GarageType","2Types :  6  "
"","  GarageType","Attchd :870  "
"","  GarageType","Basment: 19  "
"","  GarageType","BuiltIn: 88  "
"","  GarageType","CarPort:  9  "
"","  GarageType","Detchd :387  "
"","  GarageType","NA's   : 81  "
""," GarageYrBlt","Min.   :1900  "
""," GarageYrBlt","1st Qu.:1961  "
""," GarageYrBlt","Median :1980  "
""," GarageYrBlt","Mean   :1979  "
""," GarageYrBlt","3rd Qu.:2002  "
""," GarageYrBlt","Max.   :2010  "
""," GarageYrBlt","NA's   :81  "
"","GarageFinish","Fin :352  "
"","GarageFinish","RFn :422  "
"","GarageFinish","Unf :605  "
"","GarageFinish","NA's: 81  "
"","GarageFinish",NA
"","GarageFinish",NA
"","GarageFinish",NA
"","  GarageCars","Min.   :0.000  "
"","  GarageCars","1st Qu.:1.000  "
"","  GarageCars","Median :2.000  "
"","  GarageCars","Mean   :1.767  "
"","  GarageCars","3rd Qu.:2.000  "
"","  GarageCars","Max.   :4.000  "
"","  GarageCars",NA
"","  GarageArea","Min.   :   0.0  "
"","  GarageArea","1st Qu.: 334.5  "
"","  GarageArea","Median : 480.0  "
"","  GarageArea","Mean   : 473.0  "
"","  GarageArea","3rd Qu.: 576.0  "
"","  GarageArea","Max.   :1418.0  "
"","  GarageArea",NA
"","GarageQual","Ex  :   3  "
"","GarageQual","Fa  :  48  "
"","GarageQual","Gd  :  14  "
"","GarageQual","Po  :   3  "
"","GarageQual","TA  :1311  "
"","GarageQual","NA's:  81  "
"","GarageQual",NA
"","GarageCond","Ex  :   2  "
"","GarageCond","Fa  :  35  "
"","GarageCond","Gd  :   9  "
"","GarageCond","Po  :   7  "
"","GarageCond","TA  :1326  "
"","GarageCond","NA's:  81  "
"","GarageCond",NA
"","PavedDrive","N:  90  "
"","PavedDrive","P:  30  "
"","PavedDrive","Y:1340  "
"","PavedDrive",NA
"","PavedDrive",NA
"","PavedDrive",NA
"","PavedDrive",NA
"","  WoodDeckSF","Min.   :  0.00  "
"","  WoodDeckSF","1st Qu.:  0.00  "
"","  WoodDeckSF","Median :  0.00  "
"","  WoodDeckSF","Mean   : 94.24  "
"","  WoodDeckSF","3rd Qu.:168.00  "
"","  WoodDeckSF","Max.   :857.00  "
"","  WoodDeckSF",NA
""," OpenPorchSF","Min.   :  0.00  "
""," OpenPorchSF","1st Qu.:  0.00  "
""," OpenPorchSF","Median : 25.00  "
""," OpenPorchSF","Mean   : 46.66  "
""," OpenPorchSF","3rd Qu.: 68.00  "
""," OpenPorchSF","Max.   :547.00  "
""," OpenPorchSF",NA
"","EnclosedPorch","Min.   :  0.00  "
"","EnclosedPorch","1st Qu.:  0.00  "
"","EnclosedPorch","Median :  0.00  "
"","EnclosedPorch","Mean   : 21.95  "
"","EnclosedPorch","3rd Qu.:  0.00  "
"","EnclosedPorch","Max.   :552.00  "
"","EnclosedPorch",NA
"","  X3SsnPorch","Min.   :  0.00  "
"","  X3SsnPorch","1st Qu.:  0.00  "
"","  X3SsnPorch","Median :  0.00  "
"","  X3SsnPorch","Mean   :  3.41  "
"","  X3SsnPorch","3rd Qu.:  0.00  "
"","  X3SsnPorch","Max.   :508.00  "
"","  X3SsnPorch",NA
""," ScreenPorch","Min.   :  0.00  "
""," ScreenPorch","1st Qu.:  0.00  "
""," ScreenPorch","Median :  0.00  "
""," ScreenPorch","Mean   : 15.06  "
""," ScreenPorch","3rd Qu.:  0.00  "
""," ScreenPorch","Max.   :480.00  "
""," ScreenPorch",NA
"","   PoolArea","Min.   :  0.000  "
"","   PoolArea","1st Qu.:  0.000  "
"","   PoolArea","Median :  0.000  "
"","   PoolArea","Mean   :  2.759  "
"","   PoolArea","3rd Qu.:  0.000  "
"","   PoolArea","Max.   :738.000  "
"","   PoolArea",NA
""," PoolQC","Ex  :   2  "
""," PoolQC","Fa  :   2  "
""," PoolQC","Gd  :   3  "
""," PoolQC","NA's:1453  "
""," PoolQC",NA
""," PoolQC",NA
""," PoolQC",NA
"","  Fence","GdPrv:  59  "
"","  Fence","GdWo :  54  "
"","  Fence","MnPrv: 157  "
"","  Fence","MnWw :  11  "
"","  Fence","NA's :1179  "
"","  Fence",NA
"","  Fence",NA
"","MiscFeature","Gar2:   2  "
"","MiscFeature","Othr:   2  "
"","MiscFeature","Shed:  49  "
"","MiscFeature","TenC:   1  "
"","MiscFeature","NA's:1406  "
"","MiscFeature",NA
"","MiscFeature",NA
"","   MiscVal","Min.   :    0.00  "
"","   MiscVal","1st Qu.:    0.00  "
"","   MiscVal","Median :    0.00  "
"","   MiscVal","Mean   :   43.49  "
"","   MiscVal","3rd Qu.:    0.00  "
"","   MiscVal","Max.   :15500.00  "
"","   MiscVal",NA
"","    MoSold","Min.   : 1.000  "
"","    MoSold","1st Qu.: 5.000  "
"","    MoSold","Median : 6.000  "
"","    MoSold","Mean   : 6.322  "
"","    MoSold","3rd Qu.: 8.000  "
"","    MoSold","Max.   :12.000  "
"","    MoSold",NA
"","    YrSold","Min.   :2006  "
"","    YrSold","1st Qu.:2007  "
"","    YrSold","Median :2008  "
"","    YrSold","Mean   :2008  "
"","    YrSold","3rd Qu.:2009  "
"","    YrSold","Max.   :2010  "
"","    YrSold",NA
"","   SaleType","WD     :1267  "
"","   SaleType","New    : 122  "
"","   SaleType","COD    :  43  "
"","   SaleType","ConLD  :   9  "
"","   SaleType","ConLI  :   5  "
"","   SaleType","ConLw  :   5  "
"","   SaleType","(Other):   9  "
"","SaleCondition","Abnorml: 101  "
"","SaleCondition","AdjLand:   4  "
"","SaleCondition","Alloca :  12  "
"","SaleCondition","Family :  20  "
"","SaleCondition","Normal :1198  "
"","SaleCondition","Partial: 125  "
"","SaleCondition",NA
"","  SalePrice","Min.   : 34900  "
"","  SalePrice","1st Qu.:129975  "
"","  SalePrice","Median :163000  "
"","  SalePrice","Mean   :180921  "
"","  SalePrice","3rd Qu.:214000  "
"","  SalePrice","Max.   :755000  "
"","  SalePrice",NA
